Marca comercial,Ingrediente activo,CT,Unidad
PHOSGAS MINI ROPE S,FOSFURO DE ALUMINIO,Ia,Kg
MANCOZEB 75 DVA,MANCOZEB,III,Kg
FOXTROT XTRA,FENOXAPROP-P-ETIL + CLOQUINTOCET MEXIL,III,Lt
DIRETH WT,CLORPIRIFOS + CIPERMETRINA,IV,Lt
LAMBDA S CS AGM,LAMBDACIALOTRINA,II,Lt
SISTEMICO ICONA D,DIMETOATO,II,Lt
ZETA SC,CLOROTALONIL,III,Lt
PHIL IMIDA 60,IMIDACLOPRID,III,Lt
PHILIMIDA FOLIAR,IMIDACLOPRID,III,Lt
CURBIX 35 FS,ETHIPROLE,II,Lt
SQ OIL NATURAL,ACEITE DE SOJA,IV,Lt
METIOFAN,METIL TIOFANATO ,III,Lt
COADYUVANTE OLEOSOL A,ALCOHOL GRASO ETOXILADO,IV,Lt
FYTOXIL FS,METALAXIL,II,Lt
ATRAZINA ICONA SC,ATRAZINA,II,Lt
LAMBDA 5 AGM,LAMBDACIALOTRINA,II,Lt
AGROCELHONE NE,"1,3-DICLOROPROPENO + CLOROPICRINA",Ia,Lt
ADAMA ESSENTIALS PASO 24 SL,PICLORAM,IV,Lt
PASTAR,AMINOPYRALID + FLUROXIPIR MEPTIL HEPTIL ESTER,IV,Lt
IMIDAGOLD FS,IMIDACLOPRID,III,Lt
COADYUVANTE SILICONADO FACYT,DODECIL BENCENO SULFONICO,III,Lt
COADYUVANTE TODO TERRENO FACYT,DODECIL BENCENO SULFONICO,III,Lt
COADYUVANTE EFECTO COMBINADO FACYT,DODECIL BENCENO SULFONICO,III,Lt
CLIPEUS MAX,LAMBDACIALOTRINA,III,Lt
ARATEBUCO 25,TEBUCONAZOLE,IV,Lt
TIMOREX GOLD,ACEITE DE ARBOL DEL TE,III,Lt
DYNASTY 10 FS SEMILLERO,AZOXISTROBINA,III,Lt
MCu,OXICLORURO DE COBRE,IV,Kg
SULFAQUYM,SULFATO DE COBRE PENTAHIDRATADO,III,Kg
BAUNDAP AM,GLIFOSATO,IV,Lt
CAMPO DROP,NONIL FENOL ETOXILADO,IV,Lt
BAUNDAP WDG,GLIFOSATO,III,Kg
EPZOLE MAX,TIRAM + TEBUCONAZOLE,II,Lt
BAGUAL,METOLACLORO,III,Lt
BECTRA,METRIBUZIN,III,Lt
REGENT ET,ETHIPROLE + FIPRONIL,II,Lt
DAARGUS CONAZOLE 43,TEBUCONAZOLE,III,Lt
FULMIK 30+30,CARBENDAZIM + TIRAM,III,Lt
CARBENDAZIM SP,CARBENDAZIM,III,Lt
TEBUCONAZOLE 43 BIESTERFELD,TEBUCONAZOLE,III,Lt
WYNCA MAX,GLIFOSATO,IV,Kg
POLIGRHESA,AZUFRE DE POLISULFUROS + AZUFRE DE TIOSULFUROS,II,Gr
POSSE PLUS,BIFENTRIN + CARBOSULFAN,Ib,Lt
AZOTE,IMIDACLOPRID,II,Lt
ROBLE,IMAZETAPIR,III,Lt
CLORIMURON 25 DVA,CLORIMURON ETIL,III,Gr
TEBUCONAZOLE 43 IRAOLA,TEBUCONAZOLE,III,Lt
NISON 70 WS,ACETAMIPRID,III,Gr
SALUZI SEMILLERO,IMIDACLOPRID,II,Lt
DICAMBA ARN EBC,DICAMBA  ,II,Lt
ACETOCLOR 90 DVA,ACETOCLOR,III,Lt
MANCONYL DVA,MANCOZEB + METALAXIL,III,Kg
IMIDACLOPRID SHARDA 70 WG,IMIDACLOPRID,II,Kg
TEBUCITES 6,TEBUCONAZOLE,IV,Lt
BORDOCALD,SULFATO DE COBRE PENTAHIDRATADO,IV,Lt
ZAP 80,AMETRINA,IV,Kg
"DELTAGRAN P 2,5",DELTAMETRINA,II,Lt
CIPERMEX,CIPERMETRINA + T.C.M.T.B.,IV,Lt
PRODINECO,ALCOHOL LINEAL ETOXILADO,IV,Lt
PERICON FOLIAR 60 SC,IMIDACLOPRID,II,Lt
CUSDUST,AZUFRE + OXICLORURO DE COBRE + SULFATO DE COBRE BASICO ,III,Kg
HIDROXICOBRE 50 WP,HIDROXIDO DE COBRE,II,Kg
"DICAMBA 48,5 SL",DICAMBA,IV,Lt
ADAMA ESSENTIALS TOPGAN,IMAZAQUIN,III,Lt
BAGUAL,DODECIL BENCENO SULFONICO,II,Lt
FORESTA PRESERVADOR,CIPERMETRINA,IV,Lt
IMIDACLOPRID 35 ARN EBC,IMIDACLOPRID,II,Lt
IMIDACLOPRID 70 ARN EBC,IMIDACLOPRID,II,Kg
CAMPO THIURAM 50,TIRAM,II,Lt
INFEST,GLIFOSATO,III,Lt
ASIMAX 80,"2,4-D",III,Kg
MAESTRO,CLETODIM,III,Lt
FUNGICUP,OXICLORURO DE COBRE,III,Kg
TECNOSPRAY,NONIL FENOL ETOXILADO,III,Lt
TOQUE ACA,LAMBDACIALOTRINA,II,Lt
HEAT,SAFLUFENACIL,III,Kg
"HALOX 3,11 LPU",HALOXIFOP-P-METIL,III,Lt
"HALOX 12,5",HALOXIFOP-P-METIL,III,Lt
CURASEMILLA DAB,CARBENDAZIM + TIRAM,III,Lt
DEGSER OIL,ACEITE REFINADO DE SOJA,IV,Lt
SEED LOCK,ETHIPROLE,II,Lt
CLASSIC,CLORIMURON ETIL,III,Kg
IMIDACLOPRID SHARDA 35,IMIDACLOPRID,II,Lt
NABIS,LAMBDACIALOTRINA,III,Lt
"2,4 D CAMPO","2,4-D",II,Lt
ADAMA GALIL,IMIDACLOPRID + BIFENTRIN,II,Lt
FACON,IMIDACLOPRID,II,Lt
METOLAN,IMAZAPIC,III,Gr
TRIGOSOL,IMAZAMOX,III,Gr
QUADRIS XTRA,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
HONOR,IMAZETAPIR,IV,Lt
RADIANCE,DIURON,III,Kg
MSMAX,M.S.M.A.,II,Lt
SHODAN,IMIDACLOPRID,III,Lt
METOLACLORO SUMMIT AGRO,METOLACLORO,III,--
SEMPRA,HALOSULFURON METIL,III,Kg
IMIDACLOPRID SHARDA 20,IMIDACLOPRID,III,Lt
VESUVIO 79,M.S.M.A.,II,Lt
RAYO,QUIZALOFOP-P-ETIL,IV,Lt
HERBADOX H2O,PENDIMETALIN,IV,Lt
DAARGUS LAMBDA,LAMBDACIALOTRINA,III,Lt
LAMBDA 25 DVA,LAMBDACIALOTRINA,II,Lt
ASSAIL,ACETAMIPRID,II,Gr
TEBUCONAZOLE 6 BIESTERFELD,TEBUCONAZOLE,III,Lt
ATRAZINA 50 DANKEN MAX,ATRAZINA,III,Lt
WR IV BIO,ALCOHOL LINEAL ETOXILADO,IV,Lt
GREEN LAMBDACIALOTRINA 5,LAMBDACIALOTRINA,III,Lt
DEFENDER,FLUROCLORIDONA,IV,Lt
BULLET ECO,ALCOHOL LINEAL ETOXILADO,IV,Lt
POINTER ECO,ALCOHOL LINEAL ETOXILADO,IV,Lt
CEBU ECO,ALCOHOL LINEAL ETOXILADO,IV,Lt
TITANIUM,CLORIMURON ETIL,IV,Gr
SUMITHION EXTRA,ESFENVALERATO + FENITROTION,II,Lt
GLIFOWEED AGM,GLIFOSATO,III,Lt
SAGAZ 10,IMAZETAPIR,III,Lt
VORAZ,ALFACIPERMETRINA,II,Lt
CAPITAN,CAPTAN,IV,Kg
CIPERMETRINA TM 25,CIPERMETRINA,II,Lt
KUARTEL ASP,DICAMBA,IV,Lt
ATRED 50 ,ATRAZINA,III,Lt
GLIFOKAY,GLIFOSATO,III,Lt
IMIDACLOPRID 70 MARKETING AGRICOLA,IMIDACLOPRID,II,Kg
CLOROTALONIL ARN EBC,CLOROTALONIL,IV,Lt
MAXIM QUATTRO SEMILLERO,TIABENDAZOL + FLUDIOXONIL + METALAXIL-M + AZOXISTROBINA,IV,Lt
COADYUVANTE BAYER XTRA,ACEITE MINERAL,IV,Lt
AMPLIGO,LAMBDACIALOTRINA + CLORANTRANILIPROLE,II,Lt
LIDEROL EMAS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
IMIDA SHARDA 60,IMIDACLOPRID,III,Lt
POTENCIADOR,NONIL FENOL ETOXILADO,III,Lt
LEXPLUS ARN EBC,ACIDO PROPIONICO + LECITINA DE SOJA,IV,Lt
PLANET XTRA,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
ATRAZIN MAX 90,ATRAZINA,III,Kg
CAMPOMETRINA 25,CIPERMETRINA,II,Lt
COADYUVANTE ANTIDERIVA FACYT,DODECIL BENCENO SULFONICO,III,Lt
TEBUCONAZOLE TM 43,TEBUCONAZOLE,III,Lt
"2,4D AMINA SUMAGRO","2,4-D",III,Lt
SOIL-TEK,ACEITE DE SOJA REFINADO,IV,Lt
GLIFOSATO 78 ARN EBC,GLIFOSATO,III,Kg
ADAMA ESSENTIALS TENOR,NOVALURON,IV,Lt
ADAMA ESSENTIALS PEDESTAL,NOVALURON,IV,Lt
BACKFIRE,IMAZETAPIR,IV,Lt
MAXIM QUATTRO,TIABENDAZOL + FLUDIOXONIL + METALAXIL-M + AZOXISTROBINA,IV,Lt
ONEWAY,GLIFOSATO + IMAZETAPIR,III,Lt
CELERITY LQ,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
LAMBDCIALOTRINA 5 BIESTERFELD,LAMBDACIALOTRINA,III,Lt
TECZAPYR,IMAZETAPIR,IV,Lt
TEBUCONAZOLE SHARDA 43,TEBUCONAZOLE,III,Lt
QUIZALOFOP SHARDA 5,QUIZALOFOP-P-ETIL,III,Lt
OXICLORURO DE COBRE SURCOS,OXICLORURO DE COBRE,II,Kg
OIL SP,ACEITE DE SOJA,IV,Lt
MASFERTIL CT 30-30,CARBENDAZIM + TIRAM,II,Lt
MANCOZEB 80 ARN EBC,MANCOZEB,II,Kg
AERO LECITHIN,LECITINA DE SOJA,IV,Lt
ESTEEM,PYRIPROXIFEN,IV,Lt
ANTIDERIVA NOVA,NONIL FENOL ETOXILADO,III,Lt
MATKA 79,M.S.M.A.,II,Lt
TRIKOPPER,SULFATO DE COBRE PENTAHIDRATADO,III,Lt
RANCONA DIMENSION SEMILLERO,IPCONAZOLE + METALAXIL,III,Lt
ACEFATO SHARDA 75,ACEFATO,II,Kg
DIQUAT SHARDA 20,DIQUAT DIBROMURO,II,Lt
TEBUCO NOVA 43,TEBUCONAZOLE,IV,Lt
TEBUCO NOVA 25 PLUS,TEBUCONAZOLE,III,Lt
PHILCARB MAX,CARBENDAZIM + TIRAM,III,Lt
ZANO,CARBENDAZIM + TEBUCONAZOLE,III,Lt
"PHILDIM 37,6",DIMETOATO,II,Lt
LIPOPLUS BIO 48,ALCOHOL LINEAL ETOXILADO,III,Lt
OBULUS,LAMBDACIALOTRINA,II,Lt
DELTAMETRINA 5 SC AGM,DELTAMETRINA,III,Lt
ECO DAB,ALCOHOL LINEAL ETOXILADO,III,Lt
AGRO PLUS,ALCOHOL LINEAL ETOXILADO,III,Lt
ADAMA ESSENTIALS SECAFOL,PARAQUAT,II,Lt
NUFARM ZETAPYR,IMAZETAPIR,IV,Lt
NITRUR FRUTAGEN ,BACILLUS THURINGIENSIS var. AIZAWAI,IV,Lt
SUPER KNOCK DVA,GLIFOSATO,III,Kg
ADERGREEN,ALCOHOL GRASO ETOXILADO,IV,Lt
TELONE INLINE,"1,3-DICLOROPROPENO + CLOROPICRINA",Ia,Lt
CLORIMURON 25 AGM,CLORIMURON ,III,Gr
YPF COA CORRECTOR SECUESTRANTE,ACIDO FOSFORICO,IV,Lt
BAKUN,CLOROTALONIL,III,Lt
PONCHO DUO,CLOTIANIDIN + BETA CIFLUTRIN,II,Lt
KASTOR ULTRA,ALCOHOL LINEAL ETOXILADO,III,Lt
ARALAMBDA 5,LAMBDACIALOTRINA,III,Lt
HACHE UNO SUPER,FLUAZIFOP-P-BUTIL,IV,Lt
ZAP 50,AMETRINA,IV,Lt
TIODICARB SHARDA 35,TIODICARB,II,Lt
LAMBDA NOVA 5,LAMBDACIALOTRINA,II,Lt
SUPER ONECIDE,FLUAZIFOP-P-BUTIL,III,Lt
IPPON 50 SC,IPRODIONE,III,Lt
MAGIC,BIFENTRIN + IMIDACLOPRID,III,Lt
OLYMPIC,MANCOZEB,III,Kg
LAMBDACIALOTRINA 5 ARN EBC,LAMBDACIALOTRINA,III,Lt
UPTAKE,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
BAUNDAP UNICO,GLIFOSATO ,III,Kg
FOLICAR 50,CARBENDAZIM,III,Lt
YPF ATRAZINA HA,ATRAZINA,II,Lt
ARACLORIMURON 25,CLORIMURON ETIL,IV,Gr
PILARSATO,GLIFOSATO,III,Lt
RUNDLE MAX,METOMINOSTROBIN + METIL TIOFANATO,III,Lt
METALDEHIDO 6 BIESTERFELD,METALDEHIDO,II,KG
GALGOTRIN TOP,CIPERMETRINA,II,Lt
"DELTAMETRINA SHARDA 2,5 EC",DELTAMETRINA,II,Lt
LIDEROL  ,ACEITE VEGETAL DE SOJA,IV,Lt
URUPRID,IMIDACLOPRID + TEBUCONAZOLE,III,Lt
TARPAN,METALAXIL,II,Lt
TOUCHE ULTRA,LAMBDACIALOTRINA + IMIDACLOPRID,II,Lt
BABOCRES,METALDEHIDO,II,KG
GUARDIAN X-TRA,ACETOCLOR + ATRAZINA,IV,Lt
PAMPEANO,ALCOHOL LINEAL ETOXILADO,III,Lt
ARBO FUNGUI,CARBENDAZIM,IV,ml
MAINMAN,FLONICAMID,IV,Lt
REBENQUE,IMIDACLOPRID,III,Lt
"RIDOWN 74,7",GLIFOSATO,IV,Kg
RIDOWN IPA 48,GLIFOSATO,III,Lt
IMIDA 70 WS DVA,IMIDACLOPRID,II,Kg
IMAZETAPIR 75 DVA,IMAZETAPIR,III,Kg
"DELTAMETRINA 2,5 DVA",DELTAMETRINA,III,Lt
CURA,CARBENDAZIM,IV,Lt
HIDRO COBRE WG,HIDROXIDO DE COBRE,III,Kg
DABOIL,ACEITE VEGETAL,IV,Lt
CURASEMILLA PHILAGRO,CARBENDAZIM + TIRAM,IV,Lt
CONTROL LAMBDA,LAMBDACIALOTRINA,II,Lt
DREXALIN PLUS,FLUMETRALIN,III,Lt
BIOLURE FRUIT FLY,"ACETATO DE AMONIO + CLORHIDRATO DE TRIMETILAMINA + 1,4-DIAMINOBUTANO",IV,Cebo
SUPER ESTRELLA II SL,GLIFOSATO,IV,Lt
ATRAKING,ATRAZINA,IV,Kg
TENACIUS,DIFENOCONAZOLE + TIAMETOXAM + METALAXIL -M,IV,Lt
DIVIDEND SUPREME,DIFENOCONAZOLE + TIAMETOXAM + METALAXIL -M,IV,Lt
DEMOLEDOR,"2,4-D",II,Lt
ESSENTIALS ARSONEX,M.S.M.A.,II,Lt
SUPERNOVA,ALCOHOL GRASO ETOXILADO,II,Lt
TUTOR DT,DINICONAZOLE + TIRAM,III,Lt
LAMBDA SQ 5,LAMBDACIALOTRINA,III,Lt
GALGOTRIN AQ,CIPERMETRINA,II,Lt
"YPF 2,4-D AMINA HA","2,4-D",II,Lt
TUTOR 25+25,CARBENDAZIM + TIRAM,III,Lt
GREEN SOLUTION II,GLIFOSATO,III,Lt
ATRAZINA 90 WG DANKEN MAX,ATRAZINA,IV,Lt
VENDAVAL DUO,IMIDACLOPRID + LAMBDACIALOTRINA,Ib,Lt
KAVA,TEBUCONAZOLE + IMIDACLOPRID,III,Lt
DAKOTA,FLUROCLORIDONA,III,Lt
HERBAN BIO LPU,QUIZALOFOP-P-ETIL,IV,Lt
PHILDUO,TEBUCONAZOLE + IMIDACLOPRID,III,Lt
STARGAN,DICAMBA,III,-
VIPOWER,LAMBDACIALOTRINA + IMIDACLOPRID,II,Lt
ALIADO,IMIDACLOPRID,II,Lt
CORRECTOR DE PH FLV,ACIDO FOSFORICO,IV,Lt
PROMESS,PROPAMOCARB CLORHIDRATO,II,Lt
DIURON WP AGROS,DIURON,III,Kg
PHANTOM,IMIDACLOPRID ,II,Lt
"ADAMA ESSENTIALS 2,4 D AMINA","2,4-D",II,Lt
TEBAZOL,TEBUCONAZOLE,III,Lt
ACE-UP,ACEFATO,III,Kg
LAMBDA 5 SUMAGRO ,LAMBDACIALOTRINA,III,Lt
COBRE AMONIACAL ANERCO,SULFATO TETRAMINO CUPRICO,III,Lt
SEQUENCE,GLIFOSATO + S METOLACLORO,IV,Lt
ATRAZINA 90 FORMULAGRO,ATRAZINA,III,Kg
CAPTURE 40,BIFENTRIN,Ib,Lt
BIORRECTOR,ACIDO CITRICO,IV,Lt
SURFACTANTE C ULTRA,SAPONINAS,III,Lt
CARBENDAZIM 80 DVA,CARBENDAZIM,IV,Kg
TEBUCONAZOLE SHARDA 25,TEBUCONAZOLE,III,Lt
SWING GOLD,DIMOXISTROBIN + EPOXICONAZOLE,II,Lt
ACETOCLOR 90 STOCKTON,ACETOCLOR,III,Lt
ADAMA CUSTODIA,TEBUCONAZOLE + AZOXISTROBINA,III,Lt
FIDELITY,FLUROCLORIDONA,III,Lt
SULFATO TRIBASICO DE COBRE,SULFATO TRIBASICO DE COBRE,IV,KG
METSULFURON ACA 60,METSULFURON METIL,III,Gr
TEBUCONAZOLE 43 FARM CHEMICALS,TEBUCONAZOLE,III,Lt
IMIDACLOPRID 75 DVA,IMIDACLOPRID,II,KG
TEBUCONAZOLE 75 DVA,TEBUCONAZOLE,II,KG
DIFLUBENZURON SHARDA 24,DIFLUBENZURON,III,Lt
POTENCIAL OIL,ACEITE DE SOJA,IV,Lt
FOLK,CLORPIRIFOS,II,Lt
AVIAT 97 DF,ACEFATO,II,Kg
DIRECT 48,GLIFOSATO,III,Lt
MARCH,GLIFOSATO,III,Lt
IMAZETAPIR 10 DVA,IMAZETAPIR,III,Lt
ADENGO,ISOXAFLUTOLE + THIENCARBAZONE METIL + CYPROSULFAMIDE,III,Lt
RAINQUAT,PARAQUAT,II,Lt
FIPRO 20% SC,FIPRONIL,II,Lt
THIODICUR 30 FS,TIODICARB,II,Lt
ATRAZINA EQUIPAGRO 90 WG,ATRAZINA,IV,Kg
LEMUR,ESTERES POLIGLICOLICOS DE AMINAS GRASAS,II,Lt
ADHERENTE ECOLOGICO FLY,DODECIL BENCENO SULFATO DE TRIETANOLAMINA Y SODIO,III,Lt
"ADAMA ESSENTIALS 2,4 D ESTER","2,4-D ESTER BUTILICO DEL ACIDO",II,Lt
OLEOSOL S,ALCOHOL GRASO ETOXILADO,IV,Lt
PROTEKTOR,ACEITE DE SOJA,IV,Lt
KOSPI,BIFENTRIN + IMIDACLOPRID,III,Lt
TEBUCARB MIX SC,CARBENDAZIM + TEBUCONAZOLE,IV,Lt
PLEDGE WP,FLUMIOXAZIN,IV,Kg
PERFECTO,LAMBDACIALOTRINA + IMIDACLOPRID,II,Kg
CLEAN CORN,ACETOCLOR,III,Lt
FIRE CLORPIRIFOS KEMSURE,CLORPIRIFOS,II,Lt
DICAMBA LQ,DICAMBA,III,Lt
BIONITROSEM CURASEMILLAS,CARBENDAZIM + TIRAM,III,Lt
MAGNUM POTASSIUM,GLIFOSATO,III,Lt
KANEMITE 15 SC,ACEQUINOCYL,III,Lt
PERFECTO AGM,LAMBDACIALOTRINA + IMIDACLOPRID,II,Kg
MYSTIC,TEBUCONAZOLE + METIL TIOFANATO,III,Lt
HERBICIDA DAARGUS AMONIO,GLIFOSATO,IV,Lt
ARAGLIFOAMONIO,GLIFOSATO,III,Lt
LANDA,LAMBDACIALOTRINA,II,Lt
PHILURON,CLORIMURON ETIL,IV,Gr
OLEO PAMPA,ACEITE VEGETAL DE SOJA,III,Lt
POLECI 10 EC,DELTAMETRINA,III,Lt
DIFENOCONAZOLE SHARDA 25 EC,DIFENOCONAZOLE,III,Lt
WEEDISHIDE,"2,4-D",II,Lt
HOMOLOGO 48,GLIFOSATO,III,Lt
ACEFATO 75 DVA,ACEFATO,III,Kg
FIPROMIREX,FIPRONIL,IV,Gr
ATRAZIN MAX 50,ATRAZINA,III,Lt
AIRONE,OXICLORURO DE COBRE + HIDROXIDO DE COBRE,III,Lt
DELEGATE,SPINETORAM,IV,Kg
CLEANSPRAY SL,"2,4-D SAL DIMETILAMINA",II,Lt
CLEANSPRAY BE,"2,4-D BUTIL ESTER",III,Lt
TROPICA,ACETOCLOR,II,Lt
AJAX 60,METSULFURON METIL,III,Gr
MAGNUM SUPER II,GLIFOSATO,III,Lt
CIDETRAK CM PLUS,DODECADIENOL,IV,Dispensers
CIDETRAK CM,DODECADIENOL,IV,Dispensers
VENDAVAL IMIDACOPRID 35,IMIDACLOPRID,II,Lt
METOLACLOR 96 SUMMIT AGRO,METOLACLORO,III,Lt
DELTAMETRINA BIESTERFELD,DELTAMETRINA,IV,Lt
OXICLORURO DE COBRE FLOWABLE  FANAPROQUI,OXICLORURO DE COBRE,III,Lt
OXICLORURO DE COBRE FANAPROQUI,OXICLORURO DE COBRE,II,Kg
ACTION AMONIO,GLIFOSATO,III,Lt
GLIFOSATO GRANULADO MULTIAGRO,GLIFOSATO,IV,Kg
STARBUZIN,METRIBUZIN,III,Lt
IMAZETAPIR FORMULAGRO,IMAZETAPIR,III,Lt
CLORIMURON MAX,CLORIMURON ETIL,IV,Gr
ATRAZINA IYASI,ATRAZINA,III,Lt
ESTEN 80,MEZCLA DE ESTERES Y JABONES PROVENIENTES DE ACIDOS GRASOS DE ACEITES VEGETALES TRANS ESTERIFICADOS  CON GLICERINA CONTIENE SUCROGLICERIDOS,III,Lt
CONTROL ACETO,ACETOCLOR,III,Lt
TENSIOMAX BIO,ALCOHOL LINEAL ETOXILADO,III,Lt
DEGLEX,"2,4-D",II,Lt
TEBUCONAZOLE SHARDA 6 FS,TEBUCONAZOLE,III,Lt
TEBUCONAZOLE SHARDA 20,TEBUCONAZOLE,III,Lt
IMIDACLOPRID SHARDA 70 WS,IMIDACLOPRID,II,Kg
PROPICONAZOLE SHARDA 25,PROPICONAZOLE,II,Lt
PUFFER OFM,Z8/E8 DODECENILACETATO,IV,mL
CUPROSO AGROSPEC WG,OXIDO CUPROSO,II,Kg
CRUISER PLUS,DIFENOCONAZOLE + FLUDIOXONIL + TIAMETOXAM,III,Lt
ALAZAN,FENOXAPROP-P-ETIL  ,III,Lt
RUBRIC,EPOXICONAZOLE,III,Lt
KARBEN,CARBENDAZIM,III,Lt
DANJIRI ST,ETHABOXAM + TIRAM + METIL TIOFANATO,III,Lt
STAGGER,PIRAFLUFEN ETIL,III,Lt
SOWER ULTRA,IPRODIONE,IV,Lt
KWR 9 STICK,NONIL FENOL ETOXILADO,IV,Lt
HIWET ACTIVADOR,NONIL FENOL ETOXILADO,IV,Lt
KWR 15 MAX,NONIL FENOL ETOXILADO,IV,Lt
EKAMET ARSA,ABAMECTINA,II,Lt
AVANTI,IMAZETAPIR,III,Kg
QUANTUM,CLORIMURON ETIL,IV,Gr
BIAGRO MX,METALAXIL,II,Lt
FLIGHT,DIFENOCONAZOLE + IMIDACLOPRID,III,Lt
OPTIONS,METIL TIOFANATO + METALAXIL,IV,Lt
MALON,BACILLUS THURINGIENSIS VAR. KURSTAKI,IV,Lt
BIOCROP,BACILLUS THURINGIENSIS VAR. KURSTAKI,IV,Lt
RANCONA 45 FS SEMILLERO,IPCONAZOLE,IV,Lt
ATRAZINA SHARDA 50,ATRAZINA,II,Lt
CRIPTON,PROTHIOCONAZOLE + TRIFLOXISTROBIN,IV,Lt
PHILZAPYR,IMAZETAPIR,III,Lt
VENDAVAL IMAZETAPIR 22,IMAZETAPIR,III,Lt
CLARTEX +R TDS MOLUSQUICIDA,METALDEHIDO,III,Kg
SUMA,LECITINA DE SOJA + ACIDO PROPIONICO,IV,Lt
SCUD 25,LAMBDACIALOTRINA,II,Lt
CLARO,CLOROTALONIL,III,Lt
AVICTA,ABAMECTINA,II,Lt
ATRAKING SC,ATRAZINA,III,Lt
DUETT PLUS,EPOXICONAZOLE + METCONAZOLE,III,Lt
GIBERELAC 10% SL,ACIDO GIBERELICO,III,Lt
ADAMA RIMON FAST,NOVALURON + BIFENTRIN,II,Lt
MEKTAN CLASICO,ALCOHOL LINEAL ETOXILADO,III,Lt
CLORPIRIFOS 48 PAMPEANO,CLORPIRIFOS,II,Lt
CUPROSO SALDECO,OXIDO CUPROSO,II,Kg
TOREG,LAMBDACIALOTRINA,II,Lt
NEMASOL N,METAM AMONIO,II,Lt
TERMINATOR MICROACTIVE,CLORPIRIFOS,II,Lt
SULFUR WG,AZUFRE,II,Kg
PROFIT,FIPRONIL + LAMBDACIALOTRINA,II,Lt
PENBOTEC 40 SC,PYRIMETHANIL,III,Lt
METOLACLOR 96 ASP,METOLACLORO,III,Lt
ALIKA,TIAMETOXAM + LAMBDACIALOTRINA,II,Lt
FICH,METALAXIL + MANCOZEB,III,Kg
METOLACLORO ARN EBC,METOLACLORO,III,Lt
COBOSDIM,CLETODIM,III,Lt
CYPER 25,CIPERMETRINA,II,Lt
SW 30,ALCOHOL LINEAL ETOXILADO,III,Lt
IMIDA-LAM ARN EBC,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
ACEITE AGRICOLA AFA,ACEITE DE SOJA REFINADO,IV,Lt
PLUS OIL,ACEITE DE SOJA,IV,Lt
DERBY,IMAZETAPIR,III,Lt
ACETOPRO 90 EC,ACETOCLOR,II,Lt
POTASO,GLIFOSATO,III,Lt
ESKOBA FULL II,GLIFOSATO,III,Lt
SAMAL T+C,CARBENDAZIM + TIRAM,IV,Lt
HIWET SILICONADO,NONIL FENOL ETOXILADO,IV,Lt
CLORPIRIFOS RURALCO,CLORPIRIFOS,II,Lt
ZEUS SQ,TEBUCONAZOLE,III,Lt
MICEXANIL,CYMOXANIL + MANCOZEB,III,Kg
VOLTEO STK,LAMBDACIALOTRINA,III,Lt
SPECTRUM STK,CARBENDAZIM,III,Lt
GLIFOSATO G 48,GLIFOSATO,III,Lt
SUGARINE,AMETRINA,II,Lt
CREATE PRO SEMILLERO,TRIFLOXISTROBIN + METALAXIL,III,Lt
ATRAZINA EQUIPAGRO 90 WG D,ATRAZINA,IV,Kg
COUNTACH TM,GLIFOSATO,IV,Lt
MIDASH 70 WP,IMIDACLOPRID,II,Gr
GALANT HL,HALOXIFOP-P-METIL ESTER,II,Lt
CIDETRAK CMDA COMBO,DODECADIENOL + DECADIENOATO DE ETILO,IV,Dispensers
KANT,LAMBDACIALOTRINA + IMIDACLOPRID,II,Lt
ALFA 15,ALFACIPERMETRINA,II,Lt
CARBARYL LINE,CARBARIL,II,Kg
APRON MAXX ADVANCED,TIABENDAZOL + FLUDIOXONIL + METALAXIL-M ,IV,Lt
RACE RM,METOMINOSTROBIN + TEBUCONAZOLE,II,Lt
SUPER CONTROL PALAVERSICH,METALAXIL - M,II,Lt
TEBUCO 46% SURCROPS,TEBUCONAZOLE,III,Lt
ZENITH,LAMBDACIALOTRINA,II,Lt
CONTROL IMIDA,IMIDACLOPRID,II,Lt
CLEARSOL PLUS,IMAZAMOX + IMAZAPIR,IV,Lt
SHARTHIODI 35 FS,TIODICARB,II,Lt
CLEANSPRAY SS,"2,4-D",II,Kg
MIDTEB SC,IMIDACLOPRID + TEBUCONAZOLE,IV,Lt
CKC CARBENDAZIM 50,CARBENDAZIM,IV,Lt
SICO,DIFENOCONAZOLE,III,Lt
CARB EFC,CARBENDAZIM,IV,Lt
"ADAMA ESSENTIALS COADYUVANTE 76,6 EC",ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
ACTIVEG,ACEITE DE SOJA,IV,Lt
DAARGUS IMIDA 35,IMIDACLOPRID,II,Lt
ADAMA ALMAGOR,AZOXISTROBINA + TEBUCONAZOLE + PROCLORAZ,III,Lt
HURON ,LINURON,III,Lt
CYCLON,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN,II,Lt
